,nombres,distancia
0,grupo,0.0
13,banda,0.6536736729752903
89,conjunto,0.7237683409955415
619,comuna,0.7271855136414502
88,cita,0.7899550772753633
395,agrupación,0.7907154102311624
4629,aglomerado,0.7981345854967509
276,asociación,0.8096990839047354
124,región,0.8224682292761926
1,familia,0.0
5,mayoría,0.9157758041546457
83,área,0.9308631660423572
438,tribu,0.9685588163309687
124,región,0.9696510608286547
0,grupo,0.970517674400254
228,ser,0.9738705672904457
25,hombre,0.9885020516334183
196,animal,0.9908715307771044
2,nombre,0.0
45,palabra,0.6410144054245689
1814,etimología,0.7176814127409797
2477,epíteto,0.7896112178081619
3248,inspiración,0.9018322781051951
2546,vocablo,0.9165316710391593
1960,acrónimo,0.9489860578359091
656,apellido,0.9507051890687551
3009,inestabilidad,0.9532720542319005
3,obra,0.0
296,poema,0.7150691331256992
27,trabajo,0.7172980404376403
499,relato,0.7327197682725803
118,novela,0.736926764391187
41,The,0.7613813008795505
99,texto,0.7670482521051498
34,libro,0.7730979468727014
911,ensayo,0.7868755492700307
4,término,0.0
203,expresión,0.31435438437309954
2285,notación,0.7384215513428066
430,frase,0.7416653847188487
2546,vocablo,0.7684014316455655
234,técnica,0.8193702281601435
85,concepto,0.8225144254777638
1926,adjetivo,0.8230871058520983
1941,madera,0.8243944661367173
5,mayoría,0.0
228,ser,0.6196296040051881
196,animal,0.6253780884208575
180,individuo,0.6259744143224629
30,pueblo,0.6455043233646418
57,mujer,0.6499869079820185
161,localidad,0.6715431093473365
106,planta,0.6722794176393315
8,ciudad,0.6829937043372598
6,persona,0.0
25,hombre,0.6707653606040856
135,madre,0.6823653433405207
16,padre,0.6871876664101269
57,mujer,0.6923647388559014
292,esposa,0.7117271237075548
38,hermano,0.7119352096070432
157,niño,0.7302755774988475
98,joven,0.7486022867296737
7,rey,0.0
144,emperador,0.7203615518874406
592,Rey,0.7465483048046809
303,reina,0.8346958717103836
413,Enrique,0.8539823621572044
1185,Emperador,0.8546121652053553
168,Gobierno,0.8807885689133285
182,Carlos,0.886995190774714
191,general,0.8897380108523023
8,ciudad,0.0
161,localidad,0.3920072911632387
30,pueblo,0.3931737364577473
470,parroquia,0.46239964836655323
65,isla,0.49132143394099337
285,lago,0.5075315073303991
69,municipio,0.5167736057424303
155,institución,0.5696368607947861
146,distrito,0.5793953538340731
9,sistema,0.0
388,dispositivo,0.5826716635722154
48,modelo,0.6244469476113629
243,motor,0.6417261681047052
443,tecnología,0.6444729621058625
170,método,0.6464586587608111
585,lenguaje,0.6661853396341161
234,técnica,0.6764595028504267
1093,herramienta,0.6954526997749022
10,equipo,0.0
263,selección,0.7389154974077298
283,candidato,0.830735031577837
31,país,0.8830427503520222
1812,identificación,0.8940913610303345
1035,Italia,0.9087202377752106
3441,Moldavia,0.9333634812991264
1937,clasificado,0.9429510639714259
1484,aceite,0.9456207461542292
11,gobierno,0.0
81,autoridad,0.7954512402510315
168,Gobierno,0.8526206458247904
51,organización,0.8913105427635196
167,Unión,0.8985428869145335
152,cadena,0.9043234372512794
544,Junta,0.909705043398879
0,grupo,0.9192241050437118
466,Ministerio,0.9216238943480186
12,especie,0.0
3022,subfamilia,0.7484338576330283
1461,jurisdicción,0.7898366145147129
2912,pedanía,0.8120531232538222
134,territorio,0.8329338125939749
79,género,0.8408299397471467
4966,Pla,0.8538143325911001
83,área,0.8789256060164016
4889,Cuenca,0.8931178539850361
13,banda,0.0
0,grupo,0.6536736729752903
41,The,0.8015684802777828
784,dúo,0.8597413543291847
47,juego,0.8694186963848948
15,canción,0.8831659479900016
24,álbum,0.883674483185092
1759,Big,0.8893908923406133
149,cantante,0.9026255759621667
14,miembro,0.0
306,representante,0.7469296634573975
57,mujer,0.8159321302422075
498,alcalde,0.8188775962960421
39,presidente,0.8271162248943508
25,hombre,0.8462864885075331
424,integrante,0.8467737678793369
837,consejo,0.849754089216114
88,cita,0.8531660597668661
15,canción,0.0
61,tema,0.6087049250513895
41,The,0.7314126919680844
24,álbum,0.735325996829874
574,single,0.7897680344508912
123,sencillo,0.7902592964642238
66,disco,0.8266423842754124
2171,remix,0.8474456416096513
17,versión,0.8497494436909699
16,padre,0.0
135,madre,0.4713710242924627
292,esposa,0.6091751199070301
6,persona,0.6871876664101269
679,marido,0.7089642214448294
3396,Sigurd,0.743622502672647
2807,tripulante,0.7785772453232127
991,esposo,0.7833620772543879
607,víctima,0.7988530772989322
17,versión,0.0
2171,remix,0.7556177115858118
23,tipo,0.7640184657041152
2522,reedición,0.7669949322193022
342,variedad,0.8102069162175122
24,álbum,0.8189214954953631
47,juego,0.8210238852913705
639,variación,0.8244114139302519
66,disco,0.8271687586592668
18,serie,0.0
32,programa,0.6391754293914397
3854,teleserie,0.7619245813309733
28,película,0.7754555496215437
2187,miniserie,0.7893397867915862
1417,anime,0.8158180223266362
756,show,0.8222291261667672
662,filme,0.8317221102434167
403,capítulo,0.8444941299763832
19,población,0.0
4859,GJ,0.3729823609741032
146,distrito,0.37940895449451456
1210,estreno,0.39516685905682764
476,condado,0.44714785443880606
161,localidad,0.49816558328369054
180,individuo,0.5010226693412034
837,consejo,0.52920722579723
523,macho,0.5300384519826964
20,autor,0.0
200,historiador,0.6453014079742349
621,experto,0.7150646273952156
351,crítico,0.7303221364419641
2288,lingüista,0.7578479295858523
803,estudioso,0.758088784484841
174,escritor,0.7706846438314946
419,fundador,0.7706885324023592
672,especialista,0.7978648820759313
21,resto,0.0
990,ruina,0.376423825301214
1195,fósil,0.4628104066299969
771,tumba,0.47352536630639347
286,núcleo,0.49577421365497115
1063,cabecera,0.5200411824181667
2579,embajada,0.5303443427609884
674,oficina,0.5350412920197742
2781,Ermita,0.5385913162069845
22,número,0.0
356,volumen,0.7835908165067074
113,cantidad,0.8361104250554459
179,nivel,0.8737693048853175
34,libro,0.8762709636056502
2322,tomo,0.8906854359272861
87,revista,0.8910061371003701
383,diario,0.8938757506093895
499,relato,0.9027380378502964
23,tipo,0.0
342,variedad,0.3918405433252915
489,variante,0.4767226549783963
272,diferencia,0.5159630824557462
2232,excepción,0.5313917240099146
1132,debate,0.5339630772594974
1159,multitud,0.5637316669835647
1961,alternativa,0.5668669337472327
2044,documentación,0.5796101447123213
24,álbum,0.0
66,disco,0.4391164536472466
1080,EP,0.4693310368913123
574,single,0.5475732582051211
123,sencillo,0.5741115535457996
2576,demo,0.6455379715920984
1188,DVD,0.6666362461090302
730,CD,0.7060578084350436
2522,reedición,0.7131450433939976
25,hombre,0.0
57,mujer,0.49790207848707907
38,hermano,0.604788739732638
228,ser,0.6355796145960554
180,individuo,0.6420648160938687
6,persona,0.6707653606040856
5,mayoría,0.6872589218748129
185,España,0.7008709911765117
287,ciudadano,0.708161770272828
26,hijo,0.0
38,hermano,0.7089735285890038
182,Carlos,0.7833700681755849
323,Manuel,0.8075372179195585
521,Guillermo,0.8076261854892312
238,hija,0.818989428206111
313,María,0.8230193988779735
225,Luis,0.8576324449552875
340,Antonio,0.8737925479571481
27,trabajo,0.0
3,obra,0.7172980404376403
147,publicación,0.7201001790839273
564,labor,0.7363337123312848
396,grabación,0.7845532651556248
315,interés,0.8350075121551392
183,investigación,0.8360085110285518
63,actividad,0.8363382333505844
55,estudio,0.8685685316496147
28,película,0.0
1424,largometraje,0.5436923828258484
662,filme,0.5490465224255457
903,film,0.6004635954942674
810,documental,0.7553029767715482
538,cinta,0.768558800260148
18,serie,0.7754555496215437
2616,Warner,0.7996387650450831
623,vídeo,0.8260774350339406
29,empresa,0.0
37,compañía,0.38338865103463343
155,institución,0.5786652527741026
345,universidad,0.6408598115799756
213,Universidad,0.6455896171329961
436,banco,0.7080602133402651
972,instituto,0.712562153735454
476,condado,0.7138149975231329
470,parroquia,0.7150721247034959
